date,continent,new_cases_avg_per_pop,new_deaths_avg_per_pop
2020-05-27,Asia,14.496106320076503,0.24621163578283128
2020-05-27,Europe,210.32228188235598,11.187468248112612
2020-05-27,Africa,NA,NA
2020-05-27,Oceania,NA,NA
2020-05-27,North America,268645.3403255177,17127.98891055309
2020-05-27,South America,8163.501418138855,486.5696265358997
2020-05-28,Asia,14.489413872179687,0.2528160251546884
2020-05-28,Europe,205.24028295467014,10.978885335602376
2020-05-28,Africa,NA,NA
2020-05-28,Oceania,NA,NA
2020-05-28,North America,264476.0625485599,16732.1289349488
2020-05-28,South America,8208.74429643401,480.7681873449159
2020-05-29,Asia,14.519794063290231,0.2501742694059455
2020-05-29,Europe,202.91228553283975,10.810958414513625
2020-05-29,Africa,NA,NA
2020-05-29,Oceania,NA,NA
2020-05-29,North America,260614.07946452894,16669.059718496592
2020-05-29,South America,8360.583402741919,491.0354826037794
2020-05-30,Asia,14.962816502354402,0.2711321983459719
2020-05-30,Europe,202.2476484556885,10.667778618637954
2020-05-30,Africa,NA,NA
2020-05-30,Oceania,NA,NA
2020-05-30,North America,258500.58976426875,16949.516446975562
2020-05-30,South America,8742.43496503193,488.65647516575007
2020-05-31,Asia,15.10749665886055,0.2772082365680804
2020-05-31,Europe,198.16790809913235,10.001373889685759
2020-05-31,Africa,NA,NA
2020-05-31,Oceania,NA,NA
2020-05-31,North America,255882.5463323909,15972.614541077517
2020-05-31,South America,9190.773524668972,494.54138830192795
2020-06-01,Asia,15.456120359169645,0.29068119088666883
2020-06-01,Europe,196.63005103231959,10.034959273903507
2020-06-01,Africa,NA,NA
